ibo_000000|Nwoke Na- agba Boolu
ibo_000001|unere
ibo_000002|Nkita na-agba boolu
ibo_000003|Boolu n’ime Nkó
ibo_000004|oroma
ibo_000005|iko tii
ibo_000006|igwe ojii
ibo_000007|ugwu ahihia ndu juru na ya
ibo_000008|Anwu Ututu
ibo_000009|Ehi na-eri ahìhìa n'okpuru osisi
ibo_000010|Ehi n'acha ojii
ibo_000011|ukwu akwụkwọ
ibo_000012|omi na ahihia ndu
ibo_000013|Agwo n'elu Osisi
ibo_000014|otu gbakwunyere abụọ bu atọ
ibo_000015|iri ugboro iri, pụtara narị
ibo_000016|otu ụzọ n'ụzọ anọ nke iri abụọ bụ ise
ibo_000017|Kpakpando n’ime Okìrìkìrì anunu
ibo_000018|Okìrìkìrì odo odo n'ime triangulu ìsì awò
ibo_000019|eko ti ano nelo chenri
ibo_000020|odo mmiri na ugwu
ibo_000021|nwanyị nọ ọdụ n'oche na-agụ akwụkwọ akụkọ
ibo_000022|Naijiria ji ọkpụ goolu atọ merie na mgbakọ na mwepụ
ibo_000023|anyanwụ bụ kpakpando nke kacha anya nso
ibo_000024|evu ato
ibo_000025|ibe ato oji na abuo na Okìrìkìri
ibo_000026|Nwanyi, Nwata, na Nwoke
ibo_000027|Ụlọ kachasi ogologo na Nigeria dị na Lagos Island, lagos steeti
ibo_000028|iri isii abụọ kewara pụtara iiri atọ
ibo_000029|nwa-nwoke nke-abuo di mkpụmkpụ
ibo_000030|Anyinya n'ihu anwu
ibo_000031|osimiri Naịl bụ osimiri kacha ogologo na Afrịka
ibo_000032|Otu ọkara narị bụ iri ise
ibo_000033|sukwe ato na,chaa anunu, na okirikiri abuo na'cha anunu
ibo_000034|nwanne m emerighị n'ọsọ ahụ mana o putara onye nke abụọ
ibo_000035|ndị nọọsụ jidesiri m ike tupu agba mu ogwu ahụ
ibo_000036|Okpomọkụ nke taa ga-abụ ogo 24 na ohere mmiri ozuzo dị ala.
ibo_000037|Disemba bụ ọnwa emume mmemme, ọ bụkwa ụbọchị ọmụmụ m
ibo_000038|ibe ato n'cha ndu, n'elu okirikiro n'cha anunu
ibo_000039|Lagos bụ obodo kacha ukwuu na Naịjirịa, mana ọ bụghị isi obodo ya.
ibo_000040|iri na otu gbakwunyere atọ pụtara iri na anọ
ibo_000041|iri  abụọ ugboro anọ pụtara iri anọ na asatọ
ibo_000042|Obíeze kacha ima mma na Naijiria dị na obodo Okene no na kogi steeti
ibo_000043|Okpomọkụ dị elu taa ga-adị ogo 75 na enweghị ohere mmiri ozuzo
ibo_000044|asatọ ugboro itoolu pụtara iri asaa na abụọ
ibo_000045|Enugu, isi obodo Enugu steeti bụ mpaghara Isi etiti na-egwupụta coal na Naịjirịa
ibo_000048|Okpomọkụ nke taa ga-abụ ogo itoolu, a ga-enwe urukpuru
ibo_000050|Amarachi Okafor, onye nwere onyinye ị gu egwu, mere egwu meturu obi nde nde mmadu.
ibo_000081|Ụgbọ igwe.
