pcm_000000|One-tenth of 1 million na 100 thousand.
pcm_000002|Lagos na one place wey people plenty like mad
pcm_000003|Clear sunny wednesday , na better weather to wash cloth keep for sun
pcm_000005|Three-quarter of 120 na 90.
pcm_000006|Twelve times four equal to forty eight
pcm_000007|Niger na country wey dey close for Northern Nigeria
pcm_000008|Na first micheal carry for the race yesterday
pcm_000009|Rain go fall this wednesday morning by 9am , so better carry your umbrella and drive small small.
pcm_000010|Ten times ten dey equal to hundred
pcm_000011|love sign and cylinde shape
pcm_000012|Cold night breeze this night time with 9 degrees celcius
pcm_000014|Two-fifth of 80 na 32.
pcm_000015|People wey dn be Naija presido na Olusegun Obasanjo,Umaru Musa Yar'Adua,Goodluck Jonathan, Buhari and Bola Tinubu
pcm_000018|Blue circle dey carry green triangle for head
pcm_000019|4 square stand for front of each other and 2 blue balls for the side
pcm_000021|Black and white cow
pcm_000022|February na month of Love.
pcm_000023|"Na which country get dia National day for May 20th?
Cameroon na country wey dia National day na May 20th"
pcm_000024|This na bridge and river dey under am.
pcm_000025|Two tomato and one carrot
pcm_000026|4 different color cups line up like say dem wan march
pcm_000027|3 yellow square inside circle
pcm_000028|one over ten times one million dey equal to hundred thousand
pcm_000029|This thursday na my sister wedding.
pcm_000031|Worm dn chop tomato come pass d middle dey play
pcm_000033|Time na 3am on wednesday weather go dey clear today at 12 degree celcius
pcm_000034|3 small brown square dey front of each other with 2 blue circle
pcm_000035|Abuja get jabi lake but na man make am no be natural
pcm_000036|One-third of 60 na 20.
pcm_000037|Buhari na fulani
pcm_000038|We dey enter club this friday?
pcm_000039|Weather go dey change anyhow today.
pcm_000040|Na wednesday 1am and small rain dey fall, weather dey cool at 12 degree Celsius
pcm_000041|sixty divide am with 2 e go equal thirty
pcm_000042|Half of hundred na fifty
pcm_000043|That film wey be Wednesday na sweet film.
pcm_000044|Abuja get zero river
pcm_000045|Na INEC dey run elections for Naija. You go call am like Eye-neck
pcm_000046|4 cups wey jane arrange together
pcm_000047|Yellow left sign wey pass fo middle of circle
pcm_000048|Half plus one-sixth go give two-thirds.
pcm_000049|Ronaldo score three goals yesterday. na my Idolo
pcm_000050|Eleven times one hundred dey equal to one thousand two hundred and ten
pcm_000051|The second son too stubborn
pcm_000052|Na Abuja naija presido dey stay for insde aso rock
pcm_000055|How far Friday? e travel ?
pcm_000057|Green area with pointed mountain
pcm_000058|worm wey put hole for tomato
pcm_000059|Two black triangle dey side by side of brown circle.
pcm_000060|E go be very calm weather this evening with cool breeze as sun dey set.
pcm_000061|Ten times ten na one hundred
pcm_000063|You go still show my side on saturday?
pcm_000064|This na fine flower with 3 colors blue, yellow and green
pcm_000066|Dem say di meeting go last forty-five minutes only, make we no waste time
pcm_000068|Paul arrange 6 books on top each other
pcm_000069|Blue circle for middle of
pcm_000070|I plan go that new church this sunday
pcm_000071|two over five times eighty dey equal to thirty two
pcm_000072|Blue circle dey stand with carry green triangle for head
pcm_000073|Moon dey for night sky
pcm_000074|Umaru Musa Yar'Adua na better presido wey Naija get before before.
pcm_000076|pink horse dey run and yellow sun dey him back
pcm_000077|Twelve times four na forty eight
pcm_000078|I no dey come work on next week Monday
pcm_000079|Three hexagon inside purple rectangle
pcm_000080|This one na 3 shapes inside rectangle
pcm_000081|Person sit down for chair dey read paper
pcm_000082|Na like 8 groups of nurses dem employ
pcm_000083|3 bees wey wan play with 3 flower
pcm_000084|Eleven plus three na fourteen
pcm_000085|Teachers day na day to celebrate all teacher because teachers dey very important for our society.
pcm_000086|circle and half triangle wey join for middle
pcm_000087|first one na black triangle second na brown circle and another black triangle
pcm_000088|Maiduguri na one of d hottest place for naija
pcm_000089|Me and Idara no dey too talk like that sha
pcm_000090|sixty divide am by two na thirty
pcm_000091|Na thunderstorm go full sky today as weather no too good.
pcm_000092|"E get one rock wey dey for 100 naira note?

Na zuma rock dey for naija 100 naira"
pcm_000093|Idara na person wey no like wahala at all
pcm_000094|Ball dey inside net
pcm_000095|black dog dey pursue ball wey get colors
pcm_000096|Breeze go blow well well today.
pcm_000099|Ekong na person wey dey very gentle
pcm_000100|Cow dey chop grass for field wey get tree.
pcm_000102|umbrella wey get different colors like red, green, white and blue
pcm_000103|She get 50 books for her shelf, but she still dey find one specific book she need for her 50th birthday
pcm_000104|six plus seven na thirteen
pcm_000106|Jollof rice na food wey dey everywhere for naija
pcm_000107|mountain dey side by side with lake for e middle
pcm_000109|Eid al-Adha this one na celebration for all muslims worldwide.
pcm_000110|one over two plus one over six equal two over three
pcm_000111|Benin na country wey fine well well
pcm_000113|four times 5 na twenty
pcm_000114|Today gpo be another wet day as rain go fall wella
pcm_000115|Circle dey for front of triangle
pcm_000117|Be like Pink na your favourite color ba?
pcm_000118|Fried rice dey go well with salad
pcm_000120|snake wey dey roll for tree branch
pcm_000121|one plus two na three
pcm_000122|This one na umbrella with plenty colors like red,purple white,and green
pcm_000123|Wetin be the color of the day? shey na red?
pcm_000125|Yam and egg just be like twins for naija
pcm_000126|Lions no dey the top five fastest animals
pcm_000128|3 banana and him tree
pcm_000129|Half of hundred na fifty
pcm_000130|You go dn pass like two tall mountains before you turn left
pcm_000132|Na white you plan wear come that wedding?
pcm_000133|Pounded yam dey go well with almost all soup for naija
pcm_000135|volcano for green area
pcm_000136|4 green small ball inside box
pcm_000137|white star inside circle
pcm_000140|cool breeze and cool weather this evening
pcm_000141|September 7th na my birthday
pcm_000142|Hundred times one over four dey equal to twenty five
pcm_000146|mama , pikin and papa wey dey hold each other
pcm_000147|Ghana na country wey dey like brother to Nigeria
pcm_000148|seven times eight equal to fifty six
pcm_000149|Cheetah go carry first for race
pcm_000150|Rain go fall this morning but sun go still shine later in the day
pcm_000151|this one be like purple donut wey one left direction go across e body
pcm_000152|Be like shadow of person wey dey play football
pcm_000153|I plan go village this December for christmas
pcm_000154|This one be like sunrise
pcm_000157|small flower pot for window
pcm_000158|ball enter for net. this one na goal ball for football
pcm_000159|Jupiter na second largest planet
pcm_000160|Breeeze go carry person today as breeze go dey blow anyhow
pcm_000162|Banana and e tree.
pcm_000163|orange wey dey sliced
pcm_000164|Thunder go dey sky and breeeze go dey blow anyhow today
pcm_000165|Eleven plus three equal fourteen
pcm_000166|Na so so rain go fall, sun no go show face at all.
pcm_000167|Eid al-Fitr this holiday na for our muslim brothers and sisters
pcm_000168|one over three times sixty na twenty
pcm_000170|This one be like orange table wey dey carry grey love
pcm_000171|Different shapes dey for this picture , i dey see rectangle, square
pcm_000172|Different colors and shapes wey join together
pcm_000173|River benue na the 3rd largest river for west africa
pcm_000174|Nassarawa state dey close to abuja and e get him own university
pcm_000175|Na sun go dey sky through out today as weather go reach 37 degrees
pcm_000177|For naija we get correct people wey dey for sports like Jayjay okocha, Kanu, Isreal Adesanya, and Kamaru Usman
pcm_000178|Workers day na day wey all workers go relax no go work.
pcm_000179|yellow sunset with white cloud
pcm_000180|Nsikak na correct guy
pcm_000181|weather dey very cold, na snow go fall as weather go reach -5 degrees
pcm_000183|Childrens day for naija na dey always make small small pikin to dey happy
pcm_000184|six plus seven e go equal to thirteen
pcm_000185|black and white cow
pcm_000186|Na Mbappe score the 2nd goal
pcm_000187|Federal government declare June 12 as democracy day.
pcm_000188|Snake dey climb branch of tree
pcm_000189|Abuja na better place with correct people
pcm_000190|Aso Rock na massive rock wey dey look di presidential villa for Abuja.
pcm_000191|carrot and 2 tomatoes
pcm_000192|Na steven carry 2nd for the marathon
pcm_000193|Weather go hot today and no hope of rain at all
pcm_000195|Naija independence day land on the 1st of October
pcm_000196|one over four times twenty na five
pcm_000198|E go hot wella today with up to 38 degrees celcius
pcm_000199|If you enter calabar, you go think say na London
pcm_000200|Na four five I take buy that trouser for market yesterday.
pcm_000201|Black shadow wey dey play ball
pcm_000202|Goodluck Jonathan comot from Bayelsa state
pcm_000203|4 yellow box wey dey inside circle
pcm_000204|Him second son dn marry
pcm_000205|Sun go dn show face from as early 7am today reach 5pm.
pcm_000208|New year day na the first day of the year and na day of celebration.
pcm_000209|Amala na food you go see for south west Nigeria
pcm_000210|One plus two go equal to 3
pcm_000211|River Benue get brother wey dem dey jam for lokoja
pcm_000212|colorful flower wey get yellow, purple and green
pcm_000213|Three-eighth times 8 na 3.
pcm_000216|Yankari Game Reserve for Bauchi State na di best place to see wild animals like elephants, baboons, and lions for Nigeria.
pcm_000217|3 yellow fly dey disturb 3 green flowerrrr
pcm_000218|Mama , papa and pikin
pcm_000220|Egusi na one soup wey almost all Nigerians dey chop
pcm_000222|drawing of bicycle
pcm_000223|River Niger sef get sister wey dem dey jam for lokoja
pcm_000224|moon for night sky
pcm_000226|"Na which former Naija Presido come from Bayelsa state?
Goodluck Jonathan na the presido wey come from bayelsa state"
pcm_000228|Tuwon shinkafa dey very popular for the North
pcm_000229|black and white kettle with design for the top
pcm_000230|four times 5 na twenty
pcm_000231|Eleven times one hundred ten dey equal to one thousand two hundred and ten
pcm_000232|Valley wey get water for middle
pcm_000233|Weather dey heavy as rain go fall this morning, e go later clear as sun go show face that kind 4pm today.
pcm_000234|Bola Tinubu na former lagos state Governor
pcm_000235|The prediction for today na say weather go dey like 10 degrees
pcm_000237|Rice and beans na another super combo for naija
pcm_000238|white star inside blue circle
pcm_000240|Green grass, green trees and fine blue sky for afternoon
pcm_000241|This people dey owe like 5 months salary
pcm_000243|two orange and one wey dem dn cut open
pcm_000244|person dey read newspaper
pcm_000245|Quarter of 100 na 25.
pcm_000247|Okpa na food wey wan be like moi moi but e dey different
pcm_000248|flower for pot by window
pcm_000249|Ade arrange 6 books on top each other
pcm_000250|Black dog dey play with ball wey get multiple colors
pcm_000252|bridge wey river dey pass under
pcm_000259|Lagos na di biggest city for Naija and e dey by di Atlantic Ocean
pcm_000271|Victoria Island na posh neighborhood for Lagos with plenty hotels and businesses.
pcm_000273|Olusegun Obasanjo serve Nigeria both as military head of state and later e serve as civilian president.
pcm_000283|"Wetin make Olumo Rock special for Yoruba people?

For history, people use Olumo Rock hide during war time, and e still stand as symbol of strength and protection for the Egba people."
pcm_000284|Nnamdi Azikiwe, the first President of Nigeria, na one of di founding fathers of the nation.
pcm_000285|River Niger and River Benue dey meet for Lokoja, and na di biggest river junction for Naija.
pcm_000288|NDA na him be Nigeria defence academy
pcm_000308|Saturday na just chilling day
pcm_000311|Thursday na my last day for that place
pcm_000316|My exam na this July
pcm_000318|John wedding na this sunday
pcm_000319|Why you no wear the black tie?
pcm_000321|Monday na day wey i no too like
pcm_000323|This May na my mama birthday
pcm_000324|I go show your side this wednesday
pcm_000333|By december i go dn get new job
pcm_000334|i dey go Uk this monday
pcm_000335|Who get this black shoe?
pcm_000337|Jane no dey come work on Tuesday
pcm_000350|Star wey Dey inside blue circle
pcm_000351|See as one purple circu, wey enter the bodi or Traiangu wey color gray
pcm_000352|Three shape wey be like Diamond wey Dey inside one purple square
pcm_000353|Cylinder wey be yellow, Dey carry love ontop am.
pcm_000354|Musa score goal, put de ball for net
pcm_000355|One yellow arrow wey cross the middle of pink circle
pcm_000356|Tomato Jos and carrot
pcm_000357|One circle wey Dey the middle of 2 yellow diamond
pcm_000359|This na painting of morning sun, be like sun wey just Dey wake
pcm_000360|Snake wey Dey on dry wood
pcm_000361|Three green circle wey Dey inside one box wey the color near blue
pcm_000362|One full Apple and another one wey Musa chop remain
pcm_000363|Na so one brown circle balance inside the middle of 2 black traiangu
pcm_000364|Bicycle wey black
pcm_000365|Two full orange and one wey Dey half
pcm_000366|Mama, papa and pikin wey Dey their middle
pcm_000367|Full moon wey Dey shine ontop water
pcm_000368|Big cow wey get black and white color
pcm_000369|Margot wey don chop apple
pcm_000371|Flower out wey Dey window side
pcm_000373|Small cup wey Dem dey use put hot water for tea
pcm_000374|Blue circle wey Dey carry triangle for Im head
pcm_000375|Three yellow box wey Dey ontop themselves, Dey near two blue circles
pcm_000376|Tomike wey Dey play ball
pcm_000378|Umbrella wey be like coat of many colors
pcm_000380|This one na valley with green trees and small mountain for back
pcm_000381|Black dog wey Dey play ball wey get different colors for the body
pcm_000382|Three bees wey the follow three flowers wey Dey shine
pcm_000383|Mountain wey green grass gather
pcm_000384|Ring circles wey get hold for middle, get three square we Dey ontop each other.
pcm_000386|Different shapes and colors wey gather ontop them self
pcm_000388|Na place wey water gather for middle with mountain and blue sky around am
pcm_000389|Books wey Ese arrange to carry go give Onome
pcm_000390|Today weather go hot. E go hot reach 92 degrees.no hope say rain go fall
pcm_000394|Horse wey fine well well con get white hair, Dey front of sun
pcm_000395|7*8 na 56
pcm_000397|Wether go hot today oh! Temperature go reach 99 degree Celsius.
pcm_000398|Today weather go cooleh. E go be like 23 degrees. Rain sef fit fall for night
pcm_000400|Cups wey Dey each other back, wey Musa wan take drink tea
pcm_000401|11+3 na 14
pcm_000402|4*5 na 20
pcm_000403|2/5*80 na 32
pcm_000406|12*4 na 48
pcm_000407|Wen you do 10 times 10 na 100
pcm_000409|Person wey get birthday for December ma jesus pikin
pcm_000412|60/2 na 30
pcm_000414|1/10*1,000000 na 100000
pcm_000415|2/4*120 na 90
pcm_000416|1000000*1/5 na 200,000
pcm_000417|Na Mount Kilimanjaro tall pass for the whole world
pcm_000418|6+7 na tatin
pcm_000421|1/2*100 na 50
pcm_000422|1/4*20 na 5
pcm_000424|1/2+1/6 na 2/3
pcm_000426|1/3*60 na 20
pcm_000428|1/5*(20+30+40) na 18
pcm_000430|Star girl carry 1st as dem Dey run relay
pcm_000431|11*110 na 1,210
pcm_000432|Na for planet earth all of us Dey. But some people wan go mars go see if person fit live there too.
pcm_000433|Na cheetah sabi run fast pass plenti animals for we forest
pcm_000436|3/8*8 na 3
pcm_000438|I see 20 missed calls for my phone. Only to see say na one person call me 20 times
pcm_000439|Osas na di number one pickin for her family. She talk fine.
pcm_000440|Nnamdi get spare part shop for Onitsha main market
pcm_000442|River Naija and River Benue, na for lokoja dem meet.
pcm_000443|I take 2 Cook beans wey pikin go chop in 2 minutes
pcm_000444|Di nurse dem reach 10 for line. But only number 1&2 get sense.
pcm_000446|Na soso big big office and people wey hold bar full Victoria island
pcm_000447|Olatayo and Arike wan marry this Saturday
pcm_000448|If you wan enter boat just chill relax for Abuja, Na jabi lake you go go be that.
pcm_000451|Ese call me 20 times ontop Okada waka wey no reach 20 minutes
pcm_000452|Tinubu square wey Dey Lagos na better place wey get plenti history
pcm_000453|Wuse market for Abuja na one of the biggest market wey person fit buy everything
pcm_000455|One of the rock wey don tey na the olumo rock for Abeokuta
pcm_000456|Ahmed na better big man for singer market kano
pcm_000458|Abuja National Mosque na one of the fine building wey Dey enter person eye when e just Dey come Abuja.
pcm_000462|Benin, Niger, ivory coast,Cameroon,Chad.
pcm_000467|One rock wey people Dey like climb to see the city of Abeokuta na di Olumo rock.
pcm_000468|If you Dey find place for ground wey Dey comot hot water wey fit turn garri, na ikogosi warm spring you go go.
pcm_000469|Muhammadu Buhari, follow rule Nigeria as Solider, come back form rule as civilian for 2015
pcm_000470|After Umaru Musa Yar’Adua Die, na Goodluck Ebele Jonathan come become president
pcm_000476|Abuja na the capital of Nigeria. Na here all them government pipo dey
pcm_000479|Niger, e be like naija but na Nee-zher e be
pcm_000480|Shibeshi na small mountain wey farmers Dey use for Adamawa state
pcm_000481|River Niger na the longes river of our country. E Dey pass plenty states before e enter the Atlantic ocean
pcm_000482|Ogun River na river wey Dey waka from Ogun reach Lagos. Farmers and fishers Dey use am well well.
pcm_000483|Efo riro na better soup wey dem Dey take serve food for Yoruba land
pcm_000484|Suya na one meat wey dem use fire and Yaji pepper cook, na Wetin oyibo Dey call grilled meat.
pcm_000486|Moi moi na on better food wey Dey chop, na beans dem Dey use cook am. Oyibo Dey call am Beans pudding
pcm_000487|Ekpang nkuwkwo na food wey Calabar and Akwa ibom people Dey chop
pcm_000488|"Which political party Good luck take win another election?

Na PDP, people’s Democratic Party wey goodluck take win the election"
pcm_000491|Na Bauchi masa Dey sweet pass for Nigeria
pcm_000492|Obudu cattle ranch na one fine place wey Dey ontop mountain for Cross river state.
pcm_000493|The way Ofada rice Dey smell, you go think say e no sweet.
pcm_000494|Bola Ahmed Tinubu na im be president today. After he rule Lagos state.
pcm_000500|The Jo’s plateau no too high, but na small mountain wey Dey bring cold weather and tin mining to plateau state.
pcm_000501|INEC: Independent electoral commission, na dem Dey make sure say election hold, dem Dey do election, come announce di result.
pcm_000502|EFCC: The economic and financial crime commission Dey fight corruption for we country.
pcm_000503|Good Friday na the day wey Catholics dem nor Dey chop meat because na the day Jesus die
pcm_000504|Ramadan na that time wey Muslims Dey do plenty fasting
pcm_000507|Every December, we Dey chop Christmas for village
pcm_000509|This new year, na inside church everybody Dey.
pcm_000510|This Easter, country hard for everybody, no be everybody enjoy like that.
pcm_000512|Nosa wan go Osas house next Tuesday
pcm_000514|Ram wey dem kill this Eid-el-Kabir plenti well well
pcm_000515|Ash Wednesday na the day wey Catholics Dey remember say na from sand sand dem come
pcm_000517|June 12 na the new democracy day for Nigeria. Na the day wey Abiola take win election
pcm_000518|"Na Wetin dem Dey carry chop jollof rice?
If you an chop jollof rice enjoy an, na to chop am with plantain or Asun."
pcm_000521|Emeka been travel go china since March
pcm_000522|NCDC: Nigerian center for disease control Dey handle all mutchi muchi sickness comot of Nigeria
pcm_000525|"Which people for Nigeria Dey chop Efo riro pass?
Na the Yoruba people Dey chop Efo riro pass."
pcm_000526|Na today be Monday?
pcm_000530|October 1st na Nigeria Independence Day, children Dey like go March for stadium.
pcm_000532|Every Friday na Nyanya fruit market day
pcm_000534|No be January dem born Nosa?
pcm_000536|If you wan see plenty animals like baboons and elephants, you go go Yankari game reserve
pcm_000538|Why your face black so?
pcm_000540|Valentine day for Febuary be like woman birthday
pcm_000542|To go church on Sunday na must for my house
pcm_000543|You go wear you yellow short?
pcm_000544|You go wear red shoe ba?
pcm_000552|Early momo on Saturday, we go jog enter street
pcm_000554|Two tomato with one carrot
pcm_000555|Yellow arrow ontop pink circle
pcm_000556|Green triangle ontop blue circle
pcm_000559|Black and white jug wey my mama dey use serve breakfast
pcm_000560|I see Cow dey chop green grass close to one tree and yellow sun dey shine
pcm_000561|Three yellow square inside one purple circle
pcm_000562|White star for di center of blue circle
pcm_000563|Foto of black an white cow dey stand
pcm_000564|Three yellow square besides two blue circle
pcm_000565|Better foto of green and blue mountains and blue wata inside Dam
