yor_000000|Tòmátì àti Ṣòmbọ̀
yor_000001|Ewé tó gbé  circle  Yélò lọ́wọ́
yor_000002|Máalù Jẹ Koríko lẹ́gbẹ̀ẹ́ Igi
yor_000004|Ìràwọ̀ Wà Nínú  Cycle
yor_000005|Ejò lọ́ mọ́ igi
yor_000006|Ọjọ́ méje ló wà ní ọ̀sẹ̀ kan.
yor_000008|Ìwé mẹ́fà Wà Lórí Ara wọn
yor_000009|Àpẹẹrẹ  Square  mẹ́ta Wà Nínú Ríǹgì
yor_000010|Máalù Dúdú
yor_000012|Àpẹẹrẹ  Hearti  Wà Lórí  Cylinder
yor_000013|Ojú Ọjọ́ funfun láúláu
yor_000014|Onburela Oní kòló púpọ̀
yor_000015|Àpẹẹrẹ oríṣìíiríṣìí lẹ́pọ̀
yor_000016|Àpẹẹrẹ  Square  Mẹ́ta Pẹ̀lú  Circle  bú lú méjì
yor_000017|Òṣùpá funfun Lójú Ọ̀run lálẹ́ lórí Omi
yor_000019|Àpẹẹrẹ  parallelogram  gírínì pẹ̀lú Àpẹẹrẹ  circle
yor_000021|Àpẹẹrẹ Àró Yélò ó wà Lórí Àpẹẹrẹ Ríǹgì
yor_000022|Àpẹẹrẹ  Triangle  méjì àti  Circle  kan
yor_000023|bírígì tó Kọ́fà Wà Lórí Omi
yor_000025|Ẹṣin ń sáré lọ
yor_000070|Iyán l'óúnjẹ àjẹgbádùn
yor_000071|Mo jẹ dòdò ìkìré lánàá
yor_000072|Jay Jay Okocha jẹ́ agbábọ́ọ̀lù
yor_000073|Obudu Cattle Ranch jẹ́ ìbùdó ìgbafẹ́
yor_000074|Tuwo shinkafa jẹ́ oúnjẹ àwọn Haúsá
yor_000075|Bower's Tower jẹ́ ilé àwọn jagunjagun ní Ìbàdàn
yor_000076|Ojú ọ̀run funfun àbí ó pupa?
yor_000077|Àmàlà dudu àti gbegìrì jẹ́ oúnjẹ aládùn
yor_000078|Oṣù May ni wọ́n bí mi
yor_000079|Bar Beach jẹ́ ibi ìgbafẹ́ ní ìlú Èkó
yor_000080|Ọ̀lá ni ọdún àjíǹde àwọn ọmọ lẹ́yìn kristi
